Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 06:00",18604.25,18609.5,18603.25,18606.75,465,518,286.0,340.0,407.0,333.0
"2024/09/09, 06:01",18606.75,18607.75,18600.25,18602.25,510,287,345.0,179.0,465.0,319.0
"2024/09/09, 06:02",18602.0,18605.5,18601.0,18603.75,301,328,184.0,221.0,465.0,331.0
"2024/09/09, 06:03",18603.75,18604.75,18598.0,18599.0,412,220,324.0,131.0,495.0,315.0
"2024/09/09, 06:04",18599.25,18602.5,18595.5,18600.75,559,526,370.0,376.0,386.0,372.0
"2024/09/09, 06:05",18600.75,18600.75,18597.0,18599.5,297,254,197.0,163.0,441.0,332.0
"2024/09/09, 06:06",18599.5,18600.5,18595.5,18600.5,367,375,261.0,249.0,366.0,371.0
"2024/09/09, 06:07",18600.25,18608.0,18599.0,18600.0,487,729,342.0,527.0,452.0,328.0
"2024/09/09, 06:08",18600.25,18603.0,18597.5,18597.75,251,204,167.0,129.0,535.0,306.0
"2024/09/09, 06:09",18597.75,18598.25,18593.5,18596.25,532,302,389.0,208.0,456.0,340.0
"2024/09/09, 06:10",18595.75,18600.0,18595.25,18596.5,236,271,160.0,170.0,466.0,349.0
"2024/09/09, 06:11",18596.5,18598.0,18591.25,18598.0,476,303,326.0,208.0,416.0,398.0
"2024/09/09, 06:12",18597.5,18603.75,18594.75,18601.75,446,683,308.0,494.0,325.0,438.0
"2024/09/09, 06:13",18601.75,18606.75,18601.5,18605.5,327,597,211.0,444.0,331.0,436.0
"2024/09/09, 06:14",18605.5,18607.5,18603.75,18604.25,326,368,258.0,261.0,473.0,409.0
"2024/09/09, 06:15",18604.25,18606.0,18600.5,18603.0,495,387,354.0,247.0,482.0,407.0
"2024/09/09, 06:16",18603.0,18606.5,18600.25,18605.75,271,274,187.0,221.0,414.0,449.0
"2024/09/09, 06:17",18605.75,18606.0,18596.25,18600.0,665,364,519.0,216.0,396.0,359.0
"2024/09/09, 06:18",18600.25,18613.5,18600.0,18609.75,444,956,301.0,679.0,343.0,383.0
"2024/09/09, 06:19",18610.0,18614.0,18607.0,18608.0,779,787,534.0,534.0,417.0,394.0
"2024/09/09, 06:20",18608.0,18609.0,18599.25,18602.0,767,415,584.0,290.0,418.0,412.0
"2024/09/09, 06:21",18602.0,18602.5,18598.0,18598.0,391,302,289.0,209.0,450.0,397.0
"2024/09/09, 06:22",18598.0,18600.75,18592.0,18597.75,813,712,612.0,467.0,346.0,405.0
"2024/09/09, 06:23",18597.0,18601.25,18596.5,18598.25,222,241,130.0,149.0,346.0,437.0
"2024/09/09, 06:24",18598.25,18602.0,18596.25,18601.0,383,462,294.0,341.0,278.0,419.0
"2024/09/09, 06:25",18601.0,18614.5,18601.0,18613.75,608,1019,401.0,738.0,383.0,508.0
"2024/09/09, 06:26",18613.75,18617.5,18611.75,18615.25,728,871,486.0,560.0,429.0,480.0
"2024/09/09, 06:27",18615.25,18629.0,18610.75,18628.0,1245,1544,813.0,1106.0,336.0,407.0
